fold,feature,importance
1,ret_1,10
1,ret_3,11
1,ret_6,24
1,ret_18,52
1,ret_42,98
1,vol_6,39
1,vol_18,126
1,vol_42,254
1,atr14_pct,166
1,ema20_gap,104
1,ema50_gap,463
1,ema200_gap,112
1,ema_slope_6,50
1,adx14,169
1,rsi14,37
1,macd_hist_pct,118
1,volume_z42,19
1,volume_change_6,56
1,obv_slope_18,112
2,ret_1,9
2,ret_3,12
2,ret_6,27
2,ret_18,40
2,ret_42,105
2,vol_6,64
2,vol_18,132
2,vol_42,292
2,atr14_pct,165
2,ema20_gap,162
2,ema50_gap,438
2,ema200_gap,158
2,ema_slope_6,48
2,adx14,191
2,rsi14,26
2,macd_hist_pct,95
2,volume_z42,18
2,volume_change_6,31
2,obv_slope_18,131
3,ret_1,1
3,ret_3,4
3,ret_6,15
3,ret_18,56
3,ret_42,86
3,vol_6,72
3,vol_18,132
3,vol_42,261
3,atr14_pct,183
3,ema20_gap,173
3,ema50_gap,534
3,ema200_gap,77
3,ema_slope_6,56
3,adx14,167
3,rsi14,38
3,macd_hist_pct,93
3,volume_z42,23
3,volume_change_6,18
3,obv_slope_18,106
4,ret_1,5
4,ret_3,14
4,ret_6,25
4,ret_18,44
4,ret_42,105
4,vol_6,74
4,vol_18,151
4,vol_42,289
4,atr14_pct,162
4,ema20_gap,188
4,ema50_gap,426
4,ema200_gap,132
4,ema_slope_6,61
4,adx14,160
4,rsi14,43
4,macd_hist_pct,110
4,volume_z42,18
4,volume_change_6,14
4,obv_slope_18,109
5,ret_1,0
5,ret_3,10
5,ret_6,23
5,ret_18,55
5,ret_42,125
5,vol_6,91
5,vol_18,184
5,vol_42,274
5,atr14_pct,193
5,ema20_gap,183
5,ema50_gap,496
5,ema200_gap,111
5,ema_slope_6,63
5,adx14,170
5,rsi14,18
5,macd_hist_pct,90
5,volume_z42,29
5,volume_change_6,12
5,obv_slope_18,123
6,ret_1,7
6,ret_3,31
6,ret_6,28
6,ret_18,44
6,ret_42,134
6,vol_6,48
6,vol_18,141
6,vol_42,275
6,atr14_pct,142
6,ema20_gap,182
6,ema50_gap,440
6,ema200_gap,123
6,ema_slope_6,69
6,adx14,125
6,rsi14,52
6,macd_hist_pct,53
6,volume_z42,39
6,volume_change_6,9
6,obv_slope_18,113
7,ret_1,5
7,ret_3,30
7,ret_6,54
7,ret_18,55
7,ret_42,158
7,vol_6,99
7,vol_18,110
7,vol_42,238
7,atr14_pct,156
7,ema20_gap,148
7,ema50_gap,441
7,ema200_gap,105
7,ema_slope_6,52
7,adx14,172
7,rsi14,87
7,macd_hist_pct,65
7,volume_z42,33
7,volume_change_6,12
7,obv_slope_18,70
8,ret_1,11
8,ret_3,32
8,ret_6,53
8,ret_18,58
8,ret_42,187
8,vol_6,78
8,vol_18,84
8,vol_42,232
8,atr14_pct,155
8,ema20_gap,192
8,ema50_gap,417
8,ema200_gap,136
8,ema_slope_6,56
8,adx14,164
8,rsi14,77
8,macd_hist_pct,63
8,volume_z42,25
8,volume_change_6,18
8,obv_slope_18,62
9,ret_1,10
9,ret_3,28
9,ret_6,27
9,ret_18,26
9,ret_42,191
9,vol_6,91
9,vol_18,102
9,vol_42,214
9,atr14_pct,164
9,ema20_gap,169
9,ema50_gap,418
9,ema200_gap,137
9,ema_slope_6,75
9,adx14,107
9,rsi14,84
9,macd_hist_pct,61
9,volume_z42,16
9,volume_change_6,19
9,obv_slope_18,78
10,ret_1,20
10,ret_3,28
10,ret_6,36
10,ret_18,36
10,ret_42,149
10,vol_6,99
10,vol_18,102
10,vol_42,248
10,atr14_pct,125
10,ema20_gap,117
10,ema50_gap,444
10,ema200_gap,118
10,ema_slope_6,77
10,adx14,117
10,rsi14,96
10,macd_hist_pct,86
10,volume_z42,37
10,volume_change_6,27
10,obv_slope_18,89
11,ret_1,25
11,ret_3,37
11,ret_6,65
11,ret_18,38
11,ret_42,163
11,vol_6,151
11,vol_18,123
11,vol_42,239
11,atr14_pct,175
11,ema20_gap,138
11,ema50_gap,405
11,ema200_gap,91
11,ema_slope_6,73
11,adx14,108
11,rsi14,89
11,macd_hist_pct,87
11,volume_z42,43
11,volume_change_6,51
11,obv_slope_18,80
12,ret_1,25
12,ret_3,22
12,ret_6,19
12,ret_18,47
12,ret_42,127
12,vol_6,91
12,vol_18,121
12,vol_42,275
12,atr14_pct,157
12,ema20_gap,147
12,ema50_gap,470
12,ema200_gap,96
12,ema_slope_6,67
12,adx14,139
12,rsi14,55
12,macd_hist_pct,93
12,volume_z42,20
12,volume_change_6,34
12,obv_slope_18,89
13,ret_1,11
13,ret_3,20
13,ret_6,33
13,ret_18,41
13,ret_42,119
13,vol_6,98
13,vol_18,134
13,vol_42,257
13,atr14_pct,161
13,ema20_gap,144
13,ema50_gap,435
13,ema200_gap,62
13,ema_slope_6,91
13,adx14,105
13,rsi14,45
13,macd_hist_pct,106
13,volume_z42,6
13,volume_change_6,32
13,obv_slope_18,80
14,ret_1,8
14,ret_3,24
14,ret_6,31
14,ret_18,30
14,ret_42,101
14,vol_6,96
14,vol_18,160
14,vol_42,226
14,atr14_pct,175
14,ema20_gap,133
14,ema50_gap,392
14,ema200_gap,136
14,ema_slope_6,78
14,adx14,121
14,rsi14,59
14,macd_hist_pct,96
14,volume_z42,24
14,volume_change_6,28
14,obv_slope_18,82
15,ret_1,12
15,ret_3,34
15,ret_6,36
15,ret_18,28
15,ret_42,84
15,vol_6,101
15,vol_18,134
15,vol_42,228
15,atr14_pct,176
15,ema20_gap,128
15,ema50_gap,359
15,ema200_gap,113
15,ema_slope_6,86
15,adx14,102
15,rsi14,62
15,macd_hist_pct,84
15,volume_z42,34
15,volume_change_6,39
15,obv_slope_18,89
16,ret_1,18
16,ret_3,30
16,ret_6,45
16,ret_18,52
16,ret_42,123
16,vol_6,116
16,vol_18,183
16,vol_42,230
16,atr14_pct,185
16,ema20_gap,119
16,ema50_gap,415
16,ema200_gap,95
16,ema_slope_6,76
16,adx14,123
16,rsi14,71
16,macd_hist_pct,92
16,volume_z42,25
16,volume_change_6,45
16,obv_slope_18,73
17,ret_1,20
17,ret_3,25
17,ret_6,39
17,ret_18,44
17,ret_42,88
17,vol_6,97
17,vol_18,149
17,vol_42,230
17,atr14_pct,181
17,ema20_gap,154
17,ema50_gap,372
17,ema200_gap,66
17,ema_slope_6,87
17,adx14,191
17,rsi14,48
17,macd_hist_pct,112
17,volume_z42,41
17,volume_change_6,36
17,obv_slope_18,86
18,ret_1,10
18,ret_3,18
18,ret_6,32
18,ret_18,41
18,ret_42,90
18,vol_6,80
18,vol_18,130
18,vol_42,191
18,atr14_pct,148
18,ema20_gap,154
18,ema50_gap,367
18,ema200_gap,57
18,ema_slope_6,59
18,adx14,184
18,rsi14,55
18,macd_hist_pct,88
18,volume_z42,34
18,volume_change_6,19
18,obv_slope_18,101
