fold,test_start,test_end_exclusive,partial_period,V1_oos_return,V1_oos_max_drawdown,V1_oos_worst_completed_cycle,V1_oos_cycles_closed,V1_oos_bars,V2_oos_return,V2_oos_max_drawdown,V2_oos_worst_completed_cycle,V2_oos_cycles_closed,V2_oos_bars,v2_minus_v1_return,v2_minus_v1_max_drawdown,v2_minus_v1_worst_completed_cycle
1,2022-04-01T00:00:00+00:00,2022-07-01T00:00:00+00:00,False,-0.33764778089381275,-0.38519646958717657,0.0010061755142869,3,26208,-0.3161104135532933,-0.3712101046126889,0.001801508131795,2,26208,0.021537367340519475,0.013986364974487686,0.0007953326175081001
2,2022-07-01T00:00:00+00:00,2022-10-01T00:00:00+00:00,False,-0.015067662962566453,-0.17622924038574728,,0,26496,-0.01646406119224819,-0.19021673843009013,,0,26496,-0.001396398229681739,-0.01398749804434285,
3,2022-10-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,False,-0.0859094807374462,-0.16560463038974438,,0,26496,-0.09400443226449862,-0.18023302179488343,,0,26496,-0.008094951527052419,-0.014628391405139052,
4,2023-01-01T00:00:00+00:00,2023-04-01T00:00:00+00:00,False,0.3896977398301622,-0.14398905987325916,,0,25920,0.43022758758864166,-0.15537799148470655,,0,25920,0.040529847758479454,-0.011388931611447384,
5,2023-04-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,False,0.047185549545065264,-0.13512378318375196,,0,26208,0.05061678840646744,-0.1443653694444511,,0,26208,0.003431238861402175,-0.009241586260699153,
6,2023-07-01T00:00:00+00:00,2023-10-01T00:00:00+00:00,False,-0.07885450673017513,-0.15104728558211356,,0,26496,-0.08431238842402078,-0.1611957928537836,,0,26496,-0.005457881693845645,-0.010148507271670049,
7,2023-10-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,False,0.2920586312835429,-0.04683763153349352,-0.0030519280981901,24,26496,0.1986893539334662,-0.05023627004014519,-0.0488307106705309,35,26496,-0.09336927735007672,-0.0033986385066516744,-0.045778782572340804
8,2024-01-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,False,0.07893565763350541,-0.0564519079366359,-0.001080581618897,50,26208,0.07445607250360986,-0.055076055824549,-0.0011144484962337,51,26208,-0.004479585129895547,0.001375852112086906,-3.386687733670005e-05
9,2024-04-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,False,-0.009412191995055275,-0.07584082865133834,0.0005395609781189,9,26208,-0.009712497701372058,-0.0782378096241213,0.0005565417418478,9,26208,-0.00030030570631678355,-0.0023969809727829583,1.698076372889999e-05
10,2024-07-01T00:00:00+00:00,2024-10-01T00:00:00+00:00,False,0.06169659980186459,-0.11125756974885781,0.000100347921738,23,26496,0.06608350556219644,-0.10633852860115411,0.0005032199115535,23,26496,0.0043869057603318495,0.0049190411477036955,0.0004028719898154999
11,2024-10-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,False,0.04623785339550168,-0.03808125504011983,0.0005830364655481,44,26496,0.04585658908665158,-0.03912625872209596,0.0005992736462765,43,26496,-0.00038126430885010443,-0.001045003681976131,1.623718072840002e-05
12,2025-01-01T00:00:00+00:00,2025-04-01T00:00:00+00:00,False,-0.004365467083056407,-0.08334289160185604,0.0011338613150244,8,25920,-0.004489211266159643,-0.08557762215817866,0.0011648315679007,8,25920,-0.00012374418310323598,-0.002234730556322617,3.097025287630015e-05
13,2025-04-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,False,0.10038278523763156,-0.06446339089515574,0.0004967809250944,18,26208,0.10293082228771167,-0.06625041706166312,0.0005101004367846,18,26208,0.0025480370500801097,-0.0017870261665073883,1.3319511690200003e-05
14,2025-07-01T00:00:00+00:00,2025-10-01T00:00:00+00:00,False,7.112469500270002e-05,-0.03293883675138898,0.0001663457647753,9,26496,7.298090384977307e-05,-0.03378677148187581,0.0001706646457535,9,26496,1.8562088470730487e-06,-0.0008479347304868323,4.318880978199986e-06
15,2025-10-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,False,-0.0997573876292478,-0.15320034231969148,0.0013263272613324,3,26496,-0.10236066111339759,-0.1571101651425777,0.0013603589080652,3,26496,-0.002603273484149793,-0.003909822822886211,3.403164673280003e-05
16,2026-01-01T00:00:00+00:00,2026-04-01T00:00:00+00:00,False,-0.12314510586248162,-0.2294185615524329,,0,25920,-0.12672516339900186,-0.23571029478360628,,0,25920,-0.0035800575365202425,-0.00629173323117338,
17,2026-04-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,False,-0.08177554789774033,-0.18494723030057614,,0,26208,-0.08449790671582336,-0.19041062750788917,,0,26208,-0.002722358818083026,-0.005463397207313037,
18,2026-07-01T00:00:00+00:00,2026-09-01T00:00:01+00:00,True,0.18432741438531552,-0.03967333736421763,,0,17856,0.1910301562368144,-0.04100966667237371,,0,17856,0.0067027418514988835,-0.0013363293081560812,
