fold,model,train_start,validation_start,test_start,test_end,train_rows,validation_rows,test_rows,purge_bars,calibrator,val_n,val_positive_rate,val_unsafe_recall,val_unsafe_precision,val_decision_threshold,val_pr_auc,val_roc_auc,val_brier,test_n,test_positive_rate,test_unsafe_recall,test_unsafe_precision,test_decision_threshold,test_pr_auc,test_roc_auc,test_brier
1,logistic,2020-02-03T08:00:00+00:00,2022-01-01T00:00:00+00:00,2022-04-01T00:00:00+00:00,2022-07-01T00:00:00+00:00,4144,498,546,42,purged_train_oof_sigmoid,498,0.25301204819277107,0.0,0.0,0.35,0.2658377496074351,0.5725593104625363,0.18847902852554024,546,0.29120879120879123,0.0,0.0,0.35,0.3384610502409785,0.4899647343701754,0.20862148405636857
1,lightgbm,2020-02-03T08:00:00+00:00,2022-01-01T00:00:00+00:00,2022-04-01T00:00:00+00:00,2022-07-01T00:00:00+00:00,4144,498,546,42,purged_train_oof_sigmoid,498,0.25301204819277107,0.0,0.0,0.35,0.23583490917353347,0.3713517665130568,0.19098837305886324,546,0.29120879120879123,0.0,0.0,0.35,0.4976003068367746,0.6757512229210342,0.2029879947729102
2,logistic,2020-04-01T00:00:00+00:00,2022-04-01T00:00:00+00:00,2022-07-01T00:00:00+00:00,2022-10-01T00:00:00+00:00,4338,504,552,42,purged_train_oof_sigmoid,504,0.28174603174603174,0.0,0.0,0.35,0.293843356749368,0.4769862267527819,0.2134366664201066,552,0.10144927536231885,0.0,0.0,0.35,0.1406912589824611,0.6293202764976958,0.09879954070741528
2,lightgbm,2020-04-01T00:00:00+00:00,2022-04-01T00:00:00+00:00,2022-07-01T00:00:00+00:00,2022-10-01T00:00:00+00:00,4338,504,552,42,purged_train_oof_sigmoid,504,0.28174603174603174,0.0,0.0,0.35,0.2741372515002385,0.448272507976033,0.22844251792385387,552,0.10144927536231885,0.0,0.0,0.35,0.31460151888806936,0.7129896313364056,0.08648168138632259
3,logistic,2020-07-01T00:00:00+00:00,2022-07-01T00:00:00+00:00,2022-10-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,4338,510,552,42,purged_train_oof_sigmoid,510,0.10980392156862745,0.0,0.0,0.35,0.07651916387711777,0.32111390811831336,0.11237202208231893,552,0.08514492753623189,0.0,0.0,0.35,0.07509047697888335,0.4778597008637034,0.0972411000391091
3,lightgbm,2020-07-01T00:00:00+00:00,2022-07-01T00:00:00+00:00,2022-10-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,4338,510,552,42,purged_train_oof_sigmoid,510,0.10980392156862745,0.0,0.0,0.35,0.0803074853270025,0.35749685336689746,0.11484814843055152,552,0.08514492753623189,0.0,0.0,0.35,0.5962954737135162,0.8772277227722772,0.09277116254032866
4,logistic,2020-10-01T00:00:00+00:00,2022-10-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-04-01T00:00:00+00:00,4338,510,540,42,purged_train_oof_sigmoid,510,0.09215686274509804,0.0,0.0,0.35,0.09970315970237717,0.5448279031294517,0.09914355274890566,540,0.05185185185185185,0.0,0.0,0.35,0.20833509127692146,0.86328125,0.07384670181209371
4,lightgbm,2020-10-01T00:00:00+00:00,2022-10-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-04-01T00:00:00+00:00,4338,510,540,42,purged_train_oof_sigmoid,510,0.09215686274509804,0.0,0.0,0.35,0.07486614714493531,0.42180965948256055,0.10546066900952629,540,0.05185185185185185,0.0,0.0,0.35,0.09951037140695805,0.6593889508928572,0.08003607738709223
5,logistic,2021-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-04-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,4338,498,546,42,purged_train_oof_sigmoid,498,0.05622489959839357,0.0,0.0,0.35,0.031228504022488366,0.09156534954407296,0.06881978837316823,546,0.009157509157509158,0.0,0.0,0.35,0.055396010881415284,0.9105360443622921,0.03609690035992033
5,lightgbm,2021-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-04-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,4338,498,546,42,purged_train_oof_sigmoid,498,0.05622489959839357,0.0,0.0,0.35,0.13735530878095242,0.7598784194528876,0.0719753606020794,546,0.009157509157509158,0.0,0.0,0.35,0.007686428256365747,0.31460258780036965,0.05553151918518807
6,logistic,2021-04-01T00:00:00+00:00,2023-04-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,2023-10-01T00:00:00+00:00,4338,504,552,42,purged_train_oof_sigmoid,504,0.00992063492063492,0.0,0.0,0.35,0.06540745798171546,0.9198396793587175,0.023145934176687113,552,0.07246376811594203,0.0,0.0,0.35,0.05995313521637968,0.287255859375,0.07008746402120129
6,lightgbm,2021-04-01T00:00:00+00:00,2023-04-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,2023-10-01T00:00:00+00:00,4338,504,552,42,purged_train_oof_sigmoid,504,0.00992063492063492,0.0,0.0,0.35,0.02978940028120356,0.8132264529058116,0.022197222547975,552,0.07246376811594203,0.0,0.0,0.35,0.07065469155471907,0.486279296875,0.07030783312955134
7,logistic,2021-07-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,2023-10-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,4338,510,552,42,purged_train_oof_sigmoid,510,0.0784313725490196,0.0,0.0,0.35,0.11875793785239053,0.6647872340425531,0.0732736651399329,552,0.0,,0.0,0.35,,,0.01545335905636373
7,lightgbm,2021-07-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,2023-10-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,4338,510,552,42,purged_train_oof_sigmoid,510,0.0784313725490196,0.0,0.0,0.35,0.06765794207858339,0.44013297872340423,0.07284922468885519,552,0.0,,0.0,0.35,,,0.009362310521424989
8,logistic,2021-10-01T00:00:00+00:00,2023-10-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,4338,510,546,42,purged_train_oof_sigmoid,510,0.0,,0.0,0.35,,,0.006093842069151546,546,0.045787545787545784,0.0,0.0,0.35,0.13783137976760865,0.6346257197696737,0.0440768540349996
8,lightgbm,2021-10-01T00:00:00+00:00,2023-10-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,4338,510,546,42,purged_train_oof_sigmoid,510,0.0,,0.0,0.35,,,0.009383360673445734,546,0.045787545787545784,0.0,0.0,0.35,0.052455893429663836,0.5740499040307102,0.046643576910942584
9,logistic,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,4338,504,546,42,purged_train_oof_sigmoid,504,0.0496031746031746,0.0,0.0,0.35,0.30679290009604543,0.7918162839248435,0.046614914744776324,546,0.10805860805860806,0.0,0.0,0.35,0.19421018434597487,0.6565273379041521,0.10143944911241325
9,lightgbm,2022-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,4338,504,546,42,purged_train_oof_sigmoid,504,0.0496031746031746,0.0,0.0,0.35,0.10072376127251942,0.7299791231732776,0.046446401698812353,546,0.10805860805860806,0.0,0.0,0.35,0.06807111797713275,0.246197751714057,0.10378256139823192
